Unnamed: 0,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
data_iniSE,2023-12-31,2023-12-24,2023-12-17,2023-12-10,2023-12-03,2023-11-26,2023-11-19,2023-11-12,2023-11-05,2023-10-29,2023-10-22,2023-10-15,2023-10-08,2023-10-01,2023-09-24,2023-09-17,2023-09-10,2023-09-03,2023-08-27,2023-08-20,2023-08-13,2023-08-06,2023-07-30,2023-07-23,2023-07-16,2023-07-09,2023-07-02,2023-06-25,2023-06-18,2023-06-11,2023-06-04,2023-05-28,2023-05-21,2023-05-14,2023-05-07,2023-04-30,2023-04-23,2023-04-16,2023-04-09,2023-04-02,2023-03-26,2023-03-19,2023-03-12,2023-03-05,2023-02-26,2023-02-19,2023-02-12,2023-02-05,2023-01-29,2023-01-22,2023-01-15,2023-01-08,2023-01-01
casos_est,1.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,7.0,10.0,4.0,5.0,7.0,15.0,21.0,37.0,40.0,34.0,60.0,118.0,84.0,77.0,65.0,54.0,52.0,23.0,13.0,8.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,6.0
casos_est_min,1,6,0,0,0,5,1,0,3,3,3,5,0,0,0,0,1,0,1,1,3,2,3,7,10,4,5,7,15,21,37,40,34,60,118,84,77,65,54,52,23,13,8,3,1,0,3,2,0,0,1,4,6
casos_est_max,1,6,0,0,0,5,1,0,3,3,3,5,0,0,0,0,1,0,1,1,3,2,3,7,10,4,5,7,15,21,37,40,34,60,118,84,77,65,54,52,23,13,8,3,1,0,3,2,0,0,1,4,6
casos,1,6,0,0,0,5,1,0,3,3,3,5,0,0,0,0,1,0,1,1,3,2,3,7,10,4,5,7,15,21,37,40,34,60,118,84,77,65,54,52,23,13,8,3,1,0,3,2,0,0,1,4,6
p_rt1,0.3467317,0.9937268,0.0,0.0,0.0,0.9420958,0.22362259,0.0,0.45004258,0.52073425,0.8085709,0.9956783,0.0,0.0,0.0,0.0,0.54860795,0.0,0.22204591,0.1510923,0.33096272,0.05311528,0.08489708,0.6070125,0.8418125,0.068187185,0.008686197,0.0008447107,0.004840562,0.012208495,0.14748368,0.0034657565,2.7391857e-07,0.010957265,0.9986957,0.9401932,0.97100884,0.9805738,0.99798965,0.99999756,0.99658847,0.98844254,0.98637766,0.83325064,0.30043003,0.0,0.91986376,0.8596615,0.0,0.0,0.09371816,0.8592401,0.9975692
p_inc100k,1.8485997,11.0915985,0.0,0.0,0.0,9.242998,1.8485997,0.0,5.5457993,5.5457993,5.5457993,9.242998,0.0,0.0,0.0,0.0,1.8485997,0.0,1.8485997,1.8485997,5.5457993,3.6971993,5.5457993,12.940198,18.485996,7.3943987,9.242998,12.940198,27.728994,38.820595,68.398186,73.943985,62.85239,110.91598,218.13477,155.28238,142.34218,120.15898,99.82439,96.12718,42.51779,24.031796,14.788797,5.5457993,1.8485997,0.0,5.5457993,3.6971993,0.0,0.0,1.6990044,6.7960176,10.194026
Localidade_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nivel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,1,1,1,1,1,1,2,1,1
