,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,city,temperatura,umidade
0,2012-12,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.0937327142857,79.6878057142857
1,2013-01,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.86180660714285,76.12709264285715
2,2013-02,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.54509975,73.59250785714286
3,2013-03,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,27.08067534285716,74.50340682857144
4,2013-04,0.25,0.25,1.0,20501.0,0.0,0.0,Cachoeirinha,26.373575428571428,79.38099982142856
5,2013-05,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.34024582142855,82.96195057142855
6,2013-06,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,24.427804800000022,84.062273
7,2013-07,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,23.79128739285715,83.22102535714282
8,2013-08,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,23.6887250357143,82.49796253571428
9,2013-09,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,24.13647485714286,79.31292874285714
10,2013-10,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,24.886084107142874,79.98424792857142
11,2013-11,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.073049,79.36390871428571
12,2013-12,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.151820428571444,76.80104228571427
13,2014-01,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.076271857142824,75.93993146428572
14,2014-02,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.090623535714276,79.11856514285718
15,2014-03,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.523008142857158,78.66884302857142
16,2014-04,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,26.221063428571426,83.74945785714287
17,2014-05,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,23.236329785714275,84.8074880357143
18,2014-06,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,22.316136800000002,84.15645802857142
19,2014-07,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,20.83113767857145,83.98827425
20,2014-08,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,22.516109657142863,82.70726285714287
21,2014-09,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,23.454912928571424,83.85835960714286
22,2014-10,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,23.604162357142872,83.15712660714286
23,2014-11,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.91553654285716,80.76232459999999
24,2014-12,0.0,0.0,1.0,20501.0,0.0,0.0,Cachoeirinha,25.468079749999998,77.70309539285715
