SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,27.0,27,2,339133,1,1,77.5334857142857,22.7652,11.0
202352,2023-12-24,12.0,12,2,339133,1,0,73.7383571428571,23.2569,10.0
202351,2023-12-17,8.0,8,2,339133,1,0,78.30395,26.7160666666667,2.0
202350,2023-12-10,15.0,15,2,339133,1,0,76.5487142857143,25.2099142857143,5.0
202349,2023-12-03,9.0,9,1,339133,1,0,82.2538666666667,21.4057333333333,3.0
202348,2023-11-26,9.0,9,1,339133,1,0,80.6888142857143,23.5225428571429,3.0
202347,2023-11-19,6.0,6,1,339133,0,0,73.1614428571429,20.9801857142857,1.0
202346,2023-11-12,8.0,8,1,339133,1,0,91.9964714285714,21.3743285714286,1.0
202345,2023-11-05,5.0,5,1,339133,0,0,77.0616714285714,20.9040285714286,0.0
202344,2023-10-29,7.0,7,1,339133,1,0,83.8665714285714,20.0324285714286,1.0
202343,2023-10-22,11.0,11,1,339133,1,0,81.4839142857143,20.3346285714286,1.0
202342,2023-10-15,7.0,7,1,339133,0,0,80.6172142857143,18.5124714285714,0.0
202341,2023-10-08,6.0,6,1,339133,0,0,83.3745285714286,16.9201142857143,0.0
202340,2023-10-01,5.0,5,1,339133,0,0,81.2534571428571,16.7683,0.0
202339,2023-09-24,9.0,9,1,339133,0,0,88.8360571428571,16.9007428571429,1.0
202338,2023-09-17,7.0,7,1,339133,1,0,85.0453714285714,21.5370142857143,0.0
202337,2023-09-10,10.0,10,1,339133,0,0,81.2290714285714,17.1291142857143,1.0
202336,2023-09-03,3.0,3,1,339133,0,0,87.6593714285714,17.0356285714286,0.0
202335,2023-08-27,13.0,13,1,339133,0,0,77.3086285714286,14.5340571428571,1.0
202334,2023-08-20,4.0,4,1,339133,0,0,77.8608571428571,15.7630571428571,1.0
202333,2023-08-13,12.0,12,1,339133,0,0,74.5711285714286,16.1184857142857,1.0
202332,2023-08-06,5.0,5,1,339133,0,0,79.9732285714286,17.5686857142857,3.0
202331,2023-07-30,4.0,4,1,339133,0,0,85.028,17.1403428571429,1.0
202330,2023-07-23,8.0,8,1,339133,0,0,83.0542571428571,16.2219,0.0
202329,2023-07-16,8.0,8,1,339133,0,0,79.6821142857143,13.5479142857143,1.0
202328,2023-07-09,8.0,8,4,339133,0,0,88.9533714285714,13.9096714285714,4.0
202327,2023-07-02,18.0,18,4,339133,0,0,87.6030142857143,16.5895142857143,4.0
202326,2023-06-25,21.0,21,4,339133,0,0,80.6549714285714,17.4879571428571,4.0
202325,2023-06-18,15.0,15,4,339133,0,0,85.8371285714286,14.5181714285714,4.0
202324,2023-06-11,35.0,35,4,339133,0,0,86.0524571428572,12.4233571428571,15.0
202323,2023-06-04,49.0,49,4,339133,0,0,79.0498714285714,18.5381714285714,17.0
202322,2023-05-28,65.0,65,4,339133,0,0,89.12533525,14.3125,
202321,2023-05-21,88.0,88,4,339133,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,106.0,106,4,339133,0,1,83.0109277894737,15.7503611578947,
202319,2023-05-07,86.0,86,4,339133,0,0,89.818026,16.3157894,
202318,2023-04-30,93.0,93,4,339133,1,0,93.022592375,19.375,
202317,2023-04-23,52.0,52,4,339133,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,86.0,86,4,339133,0,1,71.8078585714286,18.8571424285714,
202315,2023-04-09,90.0,90,4,339133,1,1,71.9851208571429,22.962406,
202314,2023-04-02,54.0,54,4,339133,0,1,72.4154744285714,21.6165415714286,
202313,2023-03-26,37.0,37,4,339133,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,42.0,42,4,339133,1,1,77.116741,25.6030701666667,
202311,2023-03-12,34.0,34,4,339133,1,1,87.24508125,24.35416675,
202310,2023-03-05,21.0,21,4,339133,1,1,89.755615,23.904762,
202309,2023-02-26,16.0,16,2,339133,1,1,84.6427567058823,22.9411764705882,
202308,2023-02-19,11.0,11,2,339133,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,4.0,4,2,339133,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,8.0,8,2,339133,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,3.0,3,2,348208,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,3.0,3,2,348208,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,2.0,2,2,348208,1,0,79.86877,24.4285714285714,
202302,2023-01-08,2.0,2,2,348208,1,0,66.4495465714286,25.819549,
202301,2023-01-01,3.0,3,1,348208,1,0,65.3131172857143,25.691729,
