SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,2.0,2,1,34954,1,0,76.3821,23.1252857142857,1.0
202352,2023-12-24,0.0,0,1,34954,0,0,72.5433142857143,23.5273,0.0
202351,2023-12-17,0.0,0,1,34954,0,0,79.5040166666667,26.5207666666667,0.0
202350,2023-12-10,2.0,2,2,34954,1,0,76.6656,25.2127428571429,0.0
202349,2023-12-03,1.0,1,1,34954,1,0,82.0767,21.3545,0.0
202348,2023-11-26,1.0,1,1,34954,1,0,80.2316285714286,23.8442428571429,0.0
202347,2023-11-19,2.0,2,1,34954,0,0,72.1716142857143,21.2149571428571,1.0
202346,2023-11-12,0.0,0,1,34954,0,0,92.1320857142857,21.2359285714286,0.0
202345,2023-11-05,0.0,0,1,34954,0,0,76.4856142857143,21.0494285714286,0.0
202344,2023-10-29,0.0,0,1,34954,0,0,83.5113,20.0776428571429,0.0
202343,2023-10-22,0.0,0,1,34954,0,0,81.3300714285714,20.4529,0.0
202342,2023-10-15,0.0,0,1,34954,0,0,80.8001714285714,18.5139714285714,0.0
202341,2023-10-08,1.0,1,1,34954,0,0,81.7669142857143,17.0665142857143,0.0
202340,2023-10-01,0.0,0,1,34954,0,0,80.5547142857143,16.8172,0.0
202339,2023-09-24,0.0,0,1,34954,0,0,88.0026714285714,16.8568571428571,0.0
202338,2023-09-17,0.0,0,1,34954,0,0,84.0497285714286,21.7591857142857,0.0
202337,2023-09-10,0.0,0,1,34954,0,0,80.1758285714286,16.9357571428571,0.0
202336,2023-09-03,0.0,0,1,34954,0,0,87.9582428571429,16.9339,0.0
202335,2023-08-27,0.0,0,1,34954,0,0,75.9362571428571,14.8100857142857,0.0
202334,2023-08-20,0.0,0,1,34954,0,0,77.1265714285714,15.8376,0.0
202333,2023-08-13,0.0,0,1,34954,0,0,72.8033857142857,16.3812142857143,0.0
202332,2023-08-06,0.0,0,1,34954,0,0,80.0916571428571,17.4847571428571,0.0
202331,2023-07-30,0.0,0,1,34954,0,0,84.0626,17.4260428571429,0.0
202330,2023-07-23,0.0,0,1,34954,0,0,82.9773714285714,16.0491714285714,0.0
202329,2023-07-16,0.0,0,1,34954,0,0,79.6701571428571,13.3641428571429,0.0
202328,2023-07-09,0.0,0,1,34954,0,0,88.7990571428571,13.6795857142857,0.0
202327,2023-07-02,1.0,1,1,34954,0,0,86.8837,16.7282428571429,1.0
202326,2023-06-25,1.0,1,1,34954,0,0,81.3956142857143,17.4302285714286,0.0
202325,2023-06-18,2.0,2,1,34954,0,0,86.2913428571429,14.4131,0.0
202324,2023-06-11,1.0,1,1,34954,0,0,85.1952571428571,12.0869285714286,0.0
202323,2023-06-04,3.0,3,1,34954,0,0,77.0553428571429,19.1327,0.0
202322,2023-05-28,6.0,6,1,34954,0,0,89.12533525,14.3125,
202321,2023-05-21,4.0,4,1,34954,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,3.0,3,1,34954,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,2.0,2,1,34954,0,0,89.818026,16.3157894,
202318,2023-04-30,1.0,1,1,34954,1,0,93.022592375,19.375,
202317,2023-04-23,2.0,2,1,34954,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,0.0,0,1,34954,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,2.0,2,1,34954,1,0,71.9851208571429,22.962406,
202314,2023-04-02,3.0,3,1,34954,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,0.0,0,1,34954,0,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,1.0,1,1,34954,1,0,77.116741,25.6030701666667,
202311,2023-03-12,1.0,1,1,34954,1,0,87.24508125,24.35416675,
202310,2023-03-05,0.0,0,1,34954,0,0,89.755615,23.904762,
202309,2023-02-26,0.0,0,1,34954,0,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,1.0,1,1,34954,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,0.0,0,1,34954,0,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,0.0,0,1,34954,0,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,0.0,0,1,41258,0,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,0.0,0,1,41258,0,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,0.0,0,1,41258,0,0,79.86877,24.4285714285714,
202302,2023-01-08,0.0,0,1,41258,0,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,41258,0,0,65.3131172857143,25.691729,
