,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,city,temperatura,umidade
0,2012-12,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,22.0,88.0
1,2013-01,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,25.25012012142855,61.07719763571428
2,2013-02,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,25.267167857142823,67.72126100000003
3,2013-03,0.6,0.6,1.0,33119.0,0.2,0.0,Dois_Irmãos,22.135144257142876,71.41398534285713
4,2013-04,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.907150071428575,73.32076296428572
5,2013-05,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,13.576901705357148,84.79669566964284
6,2013-06,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,13.75,68.33333333333333
7,2013-07,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,15.541647217857125,79.97297089285712
8,2013-08,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,14.76382207142855,81.76111864285713
9,2013-09,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.23346462857142,78.09651997142856
10,2013-10,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,21.913229107142875,75.0196797142857
11,2013-11,0.25,0.25,1.0,33119.0,0.25,0.0,Dois_Irmãos,25.516806210714275,66.80982095714285
12,2013-12,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,31.0388888,38.33888906666667
13,2014-01,0.25,0.25,1.0,33119.0,0.25,0.0,Dois_Irmãos,26.25,25.3333333333333
14,2014-02,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,28.333333,44.333334
15,2014-03,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,23.424547764285723,65.32496982142857
16,2014-04,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.406373714285724,81.28791774999999
17,2014-05,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,15.458432928571451,89.0645837142857
18,2014-06,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,14.411548071428541,91.93544274285713
19,2014-07,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,14.190450285714299,87.04370596428572
20,2014-08,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,15.110148114285717,81.93842254285714
21,2014-09,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,18.46170239285715,81.54378989285718
22,2014-10,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,21.901879464285727,78.00723878571426
23,2014-11,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,23.80952311428572,71.30548719999999
24,2014-12,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,24.699228749999975,75.09590128571428
25,2015-01,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,26.074294785714276,76.17060367857142
26,2015-02,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,25.066216428571423,78.0694615357143
27,2015-03,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,24.194580399999982,75.22948405714286
28,2015-04,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,20.695674642857124,80.36479896428573
29,2015-05,0.2,0.2,1.0,33119.0,0.0,0.0,Dois_Irmãos,18.01926105714286,84.94237874285714
30,2015-06,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,15.019079571428573,84.4216349642857
31,2015-07,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,15.976923249999976,90.8484623214286
32,2015-08,0.2,0.2,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.903550628571416,77.71856562857143
33,2015-09,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,17.687134309523824,82.97714689285712
34,2015-10,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.440809999999974,82.57717328571428
35,2015-11,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,21.7846760345238,78.94803207619046
36,2015-12,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,22.117628738095224,90.22579016666668
37,2016-01,1.0,1.0,1.0,33119.0,0.6,0.0,Dois_Irmãos,23.03797225714286,86.98551931428571
38,2016-02,0.25,0.25,1.0,33119.0,0.25,0.0,Dois_Irmãos,23.358103714285726,87.70058449999998
39,2016-03,1.0,1.0,1.25,33119.0,0.75,0.0,Dois_Irmãos,20.599098392857172,88.75995285714285
40,2016-04,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.533197006349198,84.87506233333333
41,2016-05,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,12.464369757142858,89.81690757142857
42,2016-06,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,8.855998086309535,90.74206338095237
43,2016-07,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,11.953545728571434,87.6714822857143
44,2016-08,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,13.28736426785715,87.62628714285714
45,2016-09,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,13.617226934523824,84.33766333333332
46,2016-10,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,17.173116971428563,84.17397925714288
47,2016-11,0.25,0.25,1.0,33119.0,0.0,0.0,Dois_Irmãos,18.64189211309525,80.38911265476193
48,2016-12,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,22.462463728571425,79.70171100119049
49,2017-01,0.2,0.2,1.0,33119.0,0.2,0.0,Dois_Irmãos,23.805268485714283,81.07050480000001
50,2017-02,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,23.752664785714273,84.67978767857142
51,2017-03,0.0,0.0,1.0,33119.0,0.0,0.0,Dois_Irmãos,19.6888700357143,89.07058333333333
