SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,2.0,2,2,74653,1,0,76.9577571428571,22.9989857142857,0.0
202352,2023-12-24,1.0,1,2,74653,1,0,73.0566285714286,23.4757714285714,0.0
202351,2023-12-17,2.0,2,1,74653,1,0,78.9705666666667,26.6722,2.0
202350,2023-12-10,3.0,3,1,74653,1,0,76.5522571428571,25.2651571428571,2.0
202349,2023-12-03,0.0,0,1,74653,0,0,82.1391333333333,21.4086666666667,0.0
202348,2023-11-26,0.0,0,1,74653,0,0,80.4954571428571,23.7209571428571,0.0
202347,2023-11-19,0.0,0,1,74653,0,0,72.5848857142857,21.1610428571429,0.0
202346,2023-11-12,3.0,3,2,74653,1,0,91.8248,21.3441285714286,0.0
202345,2023-11-05,2.0,2,2,74653,1,0,76.6142428571429,21.0300285714286,0.0
202344,2023-10-29,1.0,1,1,74653,1,0,83.4300714285714,20.1281285714286,0.0
202343,2023-10-22,3.0,3,1,74653,1,0,81.4190571428571,20.4346142857143,1.0
202342,2023-10-15,0.0,0,1,74653,0,0,80.7216428571429,18.5379,0.0
202341,2023-10-08,0.0,0,1,74653,0,0,82.5188142857143,17.0466857142857,0.0
202340,2023-10-01,2.0,2,1,74653,0,0,80.8108142857143,16.8284,1.0
202339,2023-09-24,0.0,0,1,74653,0,0,88.2336428571429,16.9182857142857,0.0
202338,2023-09-17,1.0,1,1,74653,1,0,84.2533857142857,21.6660571428571,0.0
202337,2023-09-10,2.0,2,1,74653,0,0,80.3167571428571,17.1051714285714,0.0
202336,2023-09-03,0.0,0,1,74653,0,0,87.6429857142857,17.0085,0.0
202335,2023-08-27,1.0,1,1,74653,0,0,76.5179142857143,14.7770571428571,0.0
202334,2023-08-20,0.0,0,1,74653,0,0,77.3611285714286,15.8687714285714,0.0
202333,2023-08-13,0.0,0,1,74653,0,0,73.2902285714286,16.3782428571429,0.0
202332,2023-08-06,1.0,1,1,74653,0,0,79.8407142857143,17.5719,0.0
202331,2023-07-30,1.0,1,1,74653,0,0,84.3696571428571,17.3482,0.0
202330,2023-07-23,5.0,5,1,74653,0,0,82.9214428571429,16.1690857142857,3.0
202329,2023-07-16,0.0,0,1,74653,0,0,79.3469571428571,13.5778142857143,0.0
202328,2023-07-09,4.0,4,1,74653,0,0,88.7485285714286,13.8505714285714,2.0
202327,2023-07-02,4.0,4,1,74653,0,0,86.9230571428571,16.7224714285714,1.0
202326,2023-06-25,12.0,12,1,74653,0,0,80.7522714285714,17.5459142857143,1.0
202325,2023-06-18,3.0,3,1,74653,0,0,85.9203,14.5278,2.0
202324,2023-06-11,7.0,7,1,74653,0,0,85.2790428571429,12.3518714285714,6.0
202323,2023-06-04,7.0,7,1,74653,0,0,77.8446,18.9266571428571,3.0
202322,2023-05-28,6.0,6,4,74653,0,0,89.12533525,14.3125,
202321,2023-05-21,29.0,29,4,74653,0,1,84.225142173913,19.7236839130435,
202320,2023-05-14,22.0,22,4,74653,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,13.0,13,4,74653,0,0,89.818026,16.3157894,
202318,2023-04-30,13.0,13,4,74653,1,0,93.022592375,19.375,
202317,2023-04-23,13.0,13,1,74653,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,5.0,5,1,74653,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,10.0,10,1,74653,1,0,71.9851208571429,22.962406,
202314,2023-04-02,5.0,5,1,74653,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,7.0,7,2,74653,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,9.0,9,2,74653,1,1,77.116741,25.6030701666667,
202311,2023-03-12,4.0,4,2,74653,1,0,87.24508125,24.35416675,
202310,2023-03-05,3.0,3,2,74653,1,0,89.755615,23.904762,
202309,2023-02-26,2.0,2,2,74653,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,1.0,1,2,74653,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,2.0,2,2,74653,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,1.0,1,2,74653,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,2.0,2,2,83279,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,1.0,1,2,83279,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,1.0,1,1,83279,1,0,79.86877,24.4285714285714,
202302,2023-01-08,1.0,1,1,83279,1,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,83279,0,0,65.3131172857143,25.691729,
