SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,1.0,1,1,7653,1,0,78.0788714285714,22.7773142857143,0.0
202352,2023-12-24,0.0,0,1,7653,0,0,73.1811285714286,23.4644857142857,0.0
202351,2023-12-17,0.0,0,1,7653,0,0,79.64695,26.3830333333333,0.0
202350,2023-12-10,0.0,0,1,7653,0,0,76.3680142857143,25.0805142857143,0.0
202349,2023-12-03,0.0,0,1,7653,0,0,80.4503,21.7192166666667,0.0
202348,2023-11-26,0.0,0,1,7653,0,0,81.1846857142857,23.1373142857143,0.0
202347,2023-11-19,0.0,0,1,7653,0,0,71.8506571428571,21.2035857142857,0.0
202346,2023-11-12,0.0,0,1,7653,0,0,90.5672142857143,21.6310142857143,0.0
202345,2023-11-05,0.0,0,1,7653,0,0,77.4575,20.5562142857143,0.0
202344,2023-10-29,0.0,0,1,7653,0,0,83.2019,20.2034714285714,0.0
202343,2023-10-22,0.0,0,1,7653,0,0,80.6756285714286,20.0649714285714,0.0
202342,2023-10-15,0.0,0,1,7653,0,0,78.8760285714286,18.6033857142857,0.0
202341,2023-10-08,0.0,0,1,7653,0,0,81.9716,17.3651142857143,0.0
202340,2023-10-01,0.0,0,1,7653,0,0,79.8683571428571,17.1386714285714,0.0
202339,2023-09-24,0.0,0,1,7653,0,0,87.2646,17.2532142857143,0.0
202338,2023-09-17,0.0,0,1,7653,0,0,85.2784142857143,21.113,0.0
202337,2023-09-10,0.0,0,1,7653,0,0,81.2574285714286,17.3989285714286,0.0
202336,2023-09-03,0.0,0,1,7653,0,0,87.3849142857143,16.9627714285714,0.0
202335,2023-08-27,0.0,0,1,7653,0,0,76.5515142857143,15.3338142857143,0.0
202334,2023-08-20,0.0,0,1,7653,0,0,76.5317571428571,16.2778142857143,0.0
202333,2023-08-13,0.0,0,1,7653,0,0,74.5123,16.5759,0.0
202332,2023-08-06,0.0,0,1,7653,0,0,78.6983857142857,17.9093,0.0
202331,2023-07-30,0.0,0,1,7653,0,0,84.1984,17.4775142857143,0.0
202330,2023-07-23,0.0,0,1,7653,0,0,83.2651285714286,16.3306142857143,0.0
202329,2023-07-16,0.0,0,1,7653,0,0,79.5835285714286,14.0520285714286,0.0
202328,2023-07-09,0.0,0,1,7653,0,0,87.1336285714286,14.7279285714286,0.0
202327,2023-07-02,1.0,1,1,7653,0,0,86.7180285714286,17.1200285714286,0.0
202326,2023-06-25,0.0,0,1,7653,0,0,79.7067285714286,17.8302,0.0
202325,2023-06-18,0.0,0,1,7653,0,0,84.8892,15.0685,0.0
202324,2023-06-11,0.0,0,1,7653,0,0,82.5504285714286,13.6218571428571,0.0
202323,2023-06-04,0.0,0,1,7653,0,0,77.8983714285714,19.0110857142857,0.0
202322,2023-05-28,0.0,0,1,7653,0,0,89.12533525,14.3125,
202321,2023-05-21,3.0,3,1,7653,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,2.0,2,1,7653,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,0.0,0,1,7653,0,0,89.818026,16.3157894,
202318,2023-04-30,3.0,3,1,7653,1,0,93.022592375,19.375,
202317,2023-04-23,2.0,2,1,7653,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,0.0,0,1,7653,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,1.0,1,1,7653,1,0,71.9851208571429,22.962406,
202314,2023-04-02,1.0,1,1,7653,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,4.0,4,1,7653,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,0.0,0,1,7653,0,0,77.116741,25.6030701666667,
202311,2023-03-12,0.0,0,1,7653,0,0,87.24508125,24.35416675,
202310,2023-03-05,1.0,1,1,7653,1,0,89.755615,23.904762,
202309,2023-02-26,0.0,0,1,7653,0,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,0.0,0,1,7653,0,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,0.0,0,1,7653,0,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,1.0,1,1,7653,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,0.0,0,1,8204,0,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,0.0,0,1,8204,0,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,0.0,0,1,8204,0,0,79.86877,24.4285714285714,
202302,2023-01-08,1.0,1,1,8204,1,0,66.4495465714286,25.819549,
202301,2023-01-01,1.0,1,1,8204,1,0,65.3131172857143,25.691729,
