SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,4.0,4,2,279205.0,1,0,78.2456714285714,22.4368571428571,2.0
202352,2023-12-24,3.0,3,2,279205.0,1,0,74.4551714285714,22.9188857142857,2.0
202351,2023-12-17,3.0,3,2,279205.0,1,0,78.0150333333333,26.5462,3.0
202350,2023-12-10,1.0,1,2,279205.0,1,0,76.4389,25.0133714285714,1.0
202349,2023-12-03,3.0,3,1,279205.0,1,0,82.6473166666667,21.2626333333333,0.0
202348,2023-11-26,3.0,3,1,279205.0,1,0,80.7155571428571,23.2538428571429,1.0
202347,2023-11-19,4.0,4,1,279205.0,0,0,73.3576142857143,20.7461857142857,3.0
202346,2023-11-12,3.0,3,1,279205.0,1,0,92.2744,21.3024142857143,3.0
202345,2023-11-05,0.0,0,1,279205.0,0,0,77.1454142857143,20.7266,0.0
202344,2023-10-29,6.0,6,1,279205.0,1,0,84.4129142857143,19.8072571428571,0.0
202343,2023-10-22,2.0,2,1,279205.0,0,0,81.3637428571429,20.1736285714286,0.0
202342,2023-10-15,2.0,2,1,279205.0,0,0,80.3508857142857,18.4058428571429,1.0
202341,2023-10-08,4.0,4,1,279205.0,0,0,83.8657714285714,16.7316857142857,0.0
202340,2023-10-01,3.0,3,1,279205.0,0,0,81.8225285714286,16.6354857142857,1.0
202339,2023-09-24,3.0,3,1,279205.0,0,0,89.3748428571429,16.8089857142857,1.0
202338,2023-09-17,5.0,5,1,279205.0,1,0,84.9685428571429,21.5119285714286,1.0
202337,2023-09-10,5.0,5,1,279205.0,0,0,81.5181142857143,17.1186714285714,0.0
202336,2023-09-03,2.0,2,1,279205.0,0,0,87.7114142857143,17.0125714285714,0.0
202335,2023-08-27,4.0,4,1,279205.0,0,0,77.3571571428571,14.3672571428571,2.0
202334,2023-08-20,2.0,2,1,279205.0,0,0,77.8207571428571,15.6943142857143,0.0
202333,2023-08-13,2.0,2,1,279205.0,0,0,74.9387,15.9679571428571,0.0
202332,2023-08-06,2.0,2,1,279205.0,0,0,79.6488857142857,17.5449285714286,0.0
202331,2023-07-30,7.0,7,1,279205.0,0,0,84.8393714285714,17.0862285714286,1.0
202330,2023-07-23,4.0,4,1,279205.0,0,0,83.0627285714286,16.2114,0.0
202329,2023-07-16,2.0,2,4,279205.0,0,0,79.9298,13.4218571428571,0.0
202328,2023-07-09,15.0,15,4,279205.0,0,0,89.3171428571429,13.8833285714286,4.0
202327,2023-07-02,22.0,22,4,279205.0,0,0,87.4232,16.5154285714286,10.0
202326,2023-06-25,17.0,17,4,279205.0,0,0,80.1113428571429,17.4240714285714,11.0
202325,2023-06-18,17.0,17,4,279205.0,0,0,85.5556285714286,14.4476,9.0
202324,2023-06-11,31.0,31,4,279205.0,0,0,86.6535,12.3662,12.0
202323,2023-06-04,45.0,45,4,279205.0,0,0,78.7901428571429,18.3553857142857,22.0
202322,2023-05-28,53.0,53,4,279205.0,0,0,89.12533525,14.3125,
202321,2023-05-21,71.0,71,4,279205.0,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,82.0,82,4,279205.0,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,71.0,71,4,279205.0,0,0,89.818026,16.3157894,
202318,2023-04-30,75.0,75,4,279205.0,1,1,93.022592375,19.375,
202317,2023-04-23,71.0,71,4,279205.0,0,1,76.8502429230769,20.3552633076923,
202316,2023-04-16,49.0,49,4,279205.0,0,1,71.8078585714286,18.8571424285714,
202315,2023-04-09,33.0,33,4,279205.0,1,1,71.9851208571429,22.962406,
202314,2023-04-02,41.0,41,4,279205.0,0,1,72.4154744285714,21.6165415714286,
202313,2023-03-26,16.0,16,2,279205.0,1,1,76.9286836521739,21.4980931304348,
202312,2023-03-19,10.0,10,2,279205.0,1,0,77.116741,25.6030701666667,
202311,2023-03-12,6.0,6,2,279205.0,1,0,87.24508125,24.35416675,
202310,2023-03-05,4.0,4,2,279205.0,1,0,89.755615,23.904762,
202309,2023-02-26,3.0,3,2,279205.0,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,3.0,3,1,279205.0,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,2.0,2,1,279205.0,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,0.0,0,1,279205.0,0,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,3.0,3,1,283620.0,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,0.0,0,1,283620.0,0,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,1.0,1,1,283620.0,1,0,79.86877,24.4285714285714,
202302,2023-01-08,1.0,1,1,283620.0,1,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,283620.0,0,0,65.3131172857143,25.691729,
