SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,3.0,3,2,91304,1,0,76.1146571428571,23.1214142857143,1.0
202352,2023-12-24,1.0,1,2,91304,1,0,71.6258142857143,23.4270857142857,1.0
202351,2023-12-17,3.0,3,1,91304,1,0,78.3336833333333,26.6341,3.0
202350,2023-12-10,4.0,4,1,91304,1,0,76.1713857142857,25.2931142857143,3.0
202349,2023-12-03,0.0,0,1,91304,0,0,80.5018166666667,21.3287166666667,0.0
202348,2023-11-26,0.0,0,1,91304,0,0,80.3027428571429,23.5139714285714,0.0
202347,2023-11-19,3.0,3,1,91304,0,0,71.1459714285714,21.1037,1.0
202346,2023-11-12,0.0,0,1,91304,0,0,91.0044857142857,21.3428142857143,0.0
202345,2023-11-05,2.0,2,1,91304,1,0,77.2467285714286,20.7047285714286,1.0
202344,2023-10-29,0.0,0,1,91304,0,0,82.8128428571429,20.1623142857143,0.0
202343,2023-10-22,1.0,1,1,91304,1,0,81.0375714285714,20.2261428571429,0.0
202342,2023-10-15,2.0,2,1,91304,0,0,79.6660571428571,18.5362571428571,0.0
202341,2023-10-08,0.0,0,1,91304,0,0,81.2660857142857,16.999,0.0
202340,2023-10-01,2.0,2,1,91304,0,0,79.5761,16.8939714285714,1.0
202339,2023-09-24,1.0,1,1,91304,0,0,86.5795714285714,16.8642,0.0
202338,2023-09-17,0.0,0,1,91304,0,0,85.1842285714286,21.2168,0.0
202337,2023-09-10,0.0,0,1,91304,0,0,80.5636571428571,16.8740571428571,0.0
202336,2023-09-03,2.0,2,1,91304,0,0,87.1754428571429,16.6828714285714,0.0
202335,2023-08-27,0.0,0,1,91304,0,0,75.7438428571429,14.9156142857143,0.0
202334,2023-08-20,0.0,0,1,91304,0,0,76.0431142857143,15.6630571428571,0.0
202333,2023-08-13,1.0,1,1,91304,0,0,72.7821714285714,16.3043142857143,0.0
202332,2023-08-06,1.0,1,1,91304,0,0,79.2659285714286,17.4949142857143,0.0
202331,2023-07-30,1.0,1,1,91304,0,0,84.3792571428571,17.1647142857143,0.0
202330,2023-07-23,3.0,3,1,91304,0,0,83.0310428571429,15.8873285714286,0.0
202329,2023-07-16,1.0,1,1,91304,0,0,78.5580714285714,13.4941571428571,0.0
202328,2023-07-09,0.0,0,1,91304,0,0,87.1779428571429,13.9485,0.0
202327,2023-07-02,4.0,4,1,91304,0,0,87.3030285714286,16.6890714285714,0.0
202326,2023-06-25,3.0,3,1,91304,0,0,81.8130857142857,17.3550142857143,0.0
202325,2023-06-18,5.0,5,1,91304,0,0,86.0604571428571,14.4114857142857,0.0
202324,2023-06-11,4.0,4,1,91304,0,0,82.8419857142857,12.4720714285714,2.0
202323,2023-06-04,6.0,6,4,91304,0,0,77.9052857142857,18.8725285714286,0.0
202322,2023-05-28,17.0,17,4,91304,0,0,89.12533525,14.3125,
202321,2023-05-21,21.0,21,4,91304,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,44.0,44,4,91304,0,1,83.0109277894737,15.7503611578947,
202319,2023-05-07,28.0,28,4,91304,0,0,89.818026,16.3157894,
202318,2023-04-30,20.0,20,4,91304,1,0,93.022592375,19.375,
202317,2023-04-23,22.0,22,4,91304,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,16.0,16,4,91304,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,12.0,12,4,91304,1,0,71.9851208571429,22.962406,
202314,2023-04-02,14.0,14,1,91304,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,9.0,9,2,91304,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,11.0,11,2,91304,1,0,77.116741,25.6030701666667,
202311,2023-03-12,8.0,8,2,91304,1,0,87.24508125,24.35416675,
202310,2023-03-05,9.0,9,2,91304,1,1,89.755615,23.904762,
202309,2023-02-26,3.0,3,2,91304,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,1.0,1,2,91304,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,1.0,1,2,91304,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,2.0,2,2,91304,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,3.0,3,2,98239,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,1.0,1,2,98239,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,1.0,1,1,98239,1,0,79.86877,24.4285714285714,
202302,2023-01-08,2.0,2,1,98239,1,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,98239,0,0,65.3131172857143,25.691729,
