SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,7.0,7,2,33173.0,1,0,80.3193142857143,21.3155714285714,0.0
202352,2023-12-24,3.0,3,2,33173.0,1,0,77.3650142857143,21.7632285714286,0.0
202351,2023-12-17,7.0,7,2,33173.0,1,0,79.3554666666667,25.5173333333333,0.0
202350,2023-12-10,7.0,7,2,33173.0,1,0,77.5559285714286,24.0314857142857,2.0
202349,2023-12-03,6.0,6,1,33173.0,1,0,85.96785,20.2573166666667,5.0
202348,2023-11-26,9.0,9,1,33173.0,1,0,81.3379285714286,22.6738285714286,1.0
202347,2023-11-19,5.0,5,1,33173.0,0,0,74.9429571428571,19.8833,0.0
202346,2023-11-12,6.0,6,1,33173.0,1,0,94.0585142857143,20.5753142857143,0.0
202345,2023-11-05,5.0,5,3,33173.0,0,0,76.5559571428571,20.4247142857143,0.0
202344,2023-10-29,8.0,8,3,33173.0,0,1,86.3638,18.7922142857143,1.0
202343,2023-10-22,8.0,8,1,33173.0,0,1,82.6204142857143,19.5641571428571,0.0
202342,2023-10-15,0.0,0,1,33173.0,0,0,82.6743428571429,17.6756857142857,0.0
202341,2023-10-08,1.0,1,1,33173.0,0,0,86.0136714285714,15.7039,0.0
202340,2023-10-01,3.0,3,1,33173.0,0,0,85.0469857142857,15.7577857142857,0.0
202339,2023-09-24,9.0,9,1,33173.0,0,1,91.4010142857143,16.1320714285714,1.0
202338,2023-09-17,1.0,1,1,33173.0,1,0,84.0929714285714,21.3797714285714,0.0
202337,2023-09-10,3.0,3,1,33173.0,0,0,81.1912571428571,16.5726142857143,0.0
202336,2023-09-03,5.0,5,1,33173.0,0,0,88.6128571428571,16.5850571428571,0.0
202335,2023-08-27,2.0,2,1,33173.0,0,0,77.1344857142857,13.4776285714286,1.0
202334,2023-08-20,1.0,1,1,33173.0,0,0,78.6448142857143,15.0834428571429,0.0
202333,2023-08-13,6.0,6,1,33173.0,0,0,74.1996428571429,15.4997,1.0
202332,2023-08-06,3.0,3,1,33173.0,0,0,81.0562285714286,16.7136142857143,2.0
202331,2023-07-30,3.0,3,1,33173.0,0,0,84.3252428571429,16.8192857142857,1.0
202330,2023-07-23,3.0,3,1,33173.0,0,0,83.1174571428571,15.6125428571429,0.0
202329,2023-07-16,0.0,0,1,33173.0,0,0,80.4788285714286,12.7391857142857,0.0
202328,2023-07-09,3.0,3,1,33173.0,0,0,91.6948428571429,12.9263142857143,1.0
202327,2023-07-02,4.0,4,1,33173.0,0,0,86.8225142857143,15.7632285714286,0.0
202326,2023-06-25,5.0,5,1,33173.0,0,0,80.2382142857143,16.7127142857143,0.0
202325,2023-06-18,3.0,3,1,33173.0,0,0,85.5285857142857,13.7368714285714,1.0
202324,2023-06-11,4.0,4,1,33173.0,0,0,90.7138,11.0059714285714,0.0
202323,2023-06-04,2.0,2,1,33173.0,0,0,78.8852,17.6880714285714,0.0
202322,2023-05-28,17.0,17,1,33173.0,0,0,89.12533525,14.3125,
202321,2023-05-21,33.0,33,1,33173.0,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,28.0,28,1,33173.0,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,31.0,31,1,33173.0,0,0,89.818026,16.3157894,
202318,2023-04-30,33.0,33,1,33173.0,1,0,93.022592375,19.375,
202317,2023-04-23,37.0,37,1,33173.0,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,23.0,23,1,33173.0,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,39.0,39,1,33173.0,1,1,71.9851208571429,22.962406,
202314,2023-04-02,18.0,18,1,33173.0,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,20.0,20,2,33173.0,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,27.0,27,2,33173.0,1,1,77.116741,25.6030701666667,
202311,2023-03-12,20.0,20,2,33173.0,1,0,87.24508125,24.35416675,
202310,2023-03-05,11.0,11,2,33173.0,1,0,89.755615,23.904762,
202309,2023-02-26,15.0,15,2,33173.0,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,9.0,9,2,33173.0,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,12.0,12,2,33173.0,1,1,84.5537757777778,23.1111111111111,
202306,2023-02-05,5.0,5,2,33173.0,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,4.0,4,2,37340.0,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,4.0,4,2,37340.0,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,4.0,4,2,37340.0,1,0,79.86877,24.4285714285714,
202302,2023-01-08,1.0,1,2,37340.0,1,0,66.4495465714286,25.819549,
202301,2023-01-01,2.0,2,1,37340.0,1,0,65.3131172857143,25.691729,
