,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
data_iniSE,2023-12-31,2023-12-24,2023-12-17,2023-12-10,2023-12-03,2023-11-26,2023-11-19,2023-11-12,2023-11-05,2023-10-29,2023-10-22,2023-10-15,2023-10-08,2023-10-01,2023-09-24,2023-09-17,2023-09-10,2023-09-03,2023-08-27,2023-08-20,2023-08-13,2023-08-06,2023-07-30,2023-07-23,2023-07-16,2023-07-09,2023-07-02,2023-06-25,2023-06-18,2023-06-11,2023-06-04,2023-05-28,2023-05-21,2023-05-14,2023-05-07,2023-04-30,2023-04-23,2023-04-16,2023-04-09,2023-04-02,2023-03-26,2023-03-19,2023-03-12,2023-03-05,2023-02-26,2023-02-19,2023-02-12,2023-02-05,2023-01-29,2023-01-22,2023-01-15,2023-01-08,2023-01-01
casos_est,2.0,3.0,2.0,2.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,10.0,13.0,10.0,15.0,5.0,2.0,4.0,7.0,6.0,11.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0
casos_est_min,2,3,2,2,2,4,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,3,4,1,10,13,10,15,5,2,4,7,6,11,4,2,0,1,3,1,1,3,1
casos_est_max,2,3,2,2,2,4,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,3,4,1,10,13,10,15,5,2,4,7,6,11,4,2,0,1,3,1,1,3,1
casos,2,3,2,2,2,4,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,3,4,1,10,13,10,15,5,2,4,7,6,11,4,2,0,1,3,1,1,3,1
p_rt1,0.4483445,0.6551831,0.37439492,0.25609615,0.3017809,0.89036405,0.99576813,0.0,0.0,0.0,0.0,0.0,0.96326596,0.0,0.0,0.0,0.0,0.0,0.0,0.97700393,0.0,0.0,0.0,0.0,0.6866426,0.70352244,0.0,0.64493144,0.0,0.20043899,0.0,0.25808161,0.10392374,0.00051900913,0.3640073,0.7048386,0.7812951,0.9954215,0.578803,0.06495286,0.15909545,0.46807292,0.6142696,0.994269,0.926527,0.6722893,0.0,0.33281195,0.76862234,0.3004579,0.44153917,0.9598386,0.8188313
p_inc100k,2.99052,4.4857802,2.99052,2.99052,2.99052,5.98104,7.4763002,0.0,0.0,0.0,0.0,0.0,1.49526,0.0,0.0,0.0,0.0,0.0,0.0,2.99052,0.0,0.0,0.0,0.0,1.49526,1.49526,0.0,1.49526,0.0,1.49526,0.0,4.4857802,5.98104,1.49526,14.9526005,19.438381,14.9526005,22.4289,7.4763002,2.99052,5.98104,10.46682,8.9715605,16.44786,5.98104,2.99052,0.0,1.49526,4.564751,1.5215837,1.5215837,4.564751,1.5215837
Localidade_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nivel,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1
