SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,1.0,1,1,21288,1,0,80.8284142857143,21.8683142857143,0.0
202352,2023-12-24,0.0,0,1,21288,0,0,75.9474571428571,22.5872142857143,0.0
202351,2023-12-17,0.0,0,1,21288,0,0,81.9132166666667,25.4519,0.0
202350,2023-12-10,0.0,0,1,21288,0,0,79.3501428571429,24.0678142857143,0.0
202349,2023-12-03,1.0,1,1,21288,1,0,84.44345,20.9049166666667,1.0
202348,2023-11-26,2.0,2,1,21288,1,0,83.3687428571429,22.4095571428571,0.0
202347,2023-11-19,1.0,1,1,21288,0,0,74.5923285714286,20.3976285714286,0.0
202346,2023-11-12,1.0,1,1,21288,1,0,92.6455428571429,21.0278571428571,0.0
202345,2023-11-05,0.0,0,1,21288,0,0,78.3214285714286,20.0285571428571,0.0
202344,2023-10-29,1.0,1,1,21288,1,0,85.7251571428571,19.4228857142857,0.0
202343,2023-10-22,0.0,0,1,21288,0,0,82.1543428571429,19.6528571428571,0.0
202342,2023-10-15,0.0,0,1,21288,0,0,81.3693,17.9010714285714,0.0
202341,2023-10-08,0.0,0,1,21288,0,0,84.6426571428571,16.5812428571429,0.0
202340,2023-10-01,0.0,0,1,21288,0,0,82.7707,16.4136428571429,0.0
202339,2023-09-24,0.0,0,1,21288,0,0,89.3359714285714,16.8327285714286,0.0
202338,2023-09-17,2.0,2,1,21288,1,0,85.9567428571429,20.8523428571429,0.0
202337,2023-09-10,2.0,2,1,21288,0,0,82.5516,16.9851285714286,0.0
202336,2023-09-03,0.0,0,1,21288,0,0,88.5489857142857,16.7290285714286,0.0
202335,2023-08-27,0.0,0,1,21288,0,0,77.2300714285714,14.5726714285714,0.0
202334,2023-08-20,0.0,0,1,21288,0,0,77.8786,15.9648857142857,0.0
202333,2023-08-13,1.0,1,1,21288,0,0,75.2598428571429,16.1425285714286,0.0
202332,2023-08-06,0.0,0,1,21288,0,0,79.6322857142857,17.4719857142857,0.0
202331,2023-07-30,1.0,1,1,21288,0,0,84.6398428571429,17.1635714285714,0.0
202330,2023-07-23,0.0,0,1,21288,0,0,83.8925571428571,16.0836428571429,0.0
202329,2023-07-16,0.0,0,1,21288,0,0,79.7669714285714,13.6065428571429,0.0
202328,2023-07-09,0.0,0,1,21288,0,0,88.7732285714286,14.2354,0.0
202327,2023-07-02,2.0,2,1,21288,0,0,86.9723,16.6634285714286,0.0
202326,2023-06-25,1.0,1,1,21288,0,0,79.6207,17.5135142857143,1.0
202325,2023-06-18,1.0,1,1,21288,0,0,84.5626571428571,14.7576571428571,0.0
202324,2023-06-11,3.0,3,1,21288,0,0,84.8656857142857,13.0371,0.0
202323,2023-06-04,1.0,1,1,21288,0,0,78.1138571428571,18.6505857142857,0.0
202322,2023-05-28,2.0,2,1,21288,0,0,89.12533525,14.3125,
202321,2023-05-21,6.0,6,1,21288,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,6.0,6,1,21288,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,4.0,4,1,21288,0,0,89.818026,16.3157894,
202318,2023-04-30,4.0,4,1,21288,1,0,93.022592375,19.375,
202317,2023-04-23,1.0,1,1,21288,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,3.0,3,1,21288,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,2.0,2,1,21288,1,0,71.9851208571429,22.962406,
202314,2023-04-02,5.0,5,1,21288,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,3.0,3,1,21288,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,6.0,6,1,21288,1,1,77.116741,25.6030701666667,
202311,2023-03-12,0.0,0,1,21288,0,0,87.24508125,24.35416675,
202310,2023-03-05,0.0,0,1,21288,0,0,89.755615,23.904762,
202309,2023-02-26,0.0,0,1,21288,0,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,0.0,0,1,21288,0,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,0.0,0,1,21288,0,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,0.0,0,1,21288,0,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,0.0,0,1,21453,0,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,0.0,0,1,21453,0,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,0.0,0,1,21453,0,0,79.86877,24.4285714285714,
202302,2023-01-08,1.0,1,1,21453,1,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,21453,0,0,65.3131172857143,25.691729,
