SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,1.0,1,1,53164,1,0,79.4291857142857,22.1507285714286,0.0
202352,2023-12-24,0.0,0,1,53164,0,0,75.2289142857143,22.7228285714286,0.0
202351,2023-12-17,0.0,0,1,53164,0,0,78.8762,26.2014666666667,0.0
202350,2023-12-10,0.0,0,1,53164,0,0,76.8927,24.7177142857143,0.0
202349,2023-12-03,0.0,0,1,53164,0,0,83.5470666666667,21.07855,0.0
202348,2023-11-26,0.0,0,1,53164,0,0,81.3294142857143,22.9387571428571,0.0
202347,2023-11-19,0.0,0,1,53164,0,0,73.5977714285714,20.6169285714286,0.0
202346,2023-11-12,0.0,0,1,53164,0,0,92.2257142857143,21.2165428571429,0.0
202345,2023-11-05,0.0,0,1,53164,0,0,77.2156285714286,20.4912142857143,0.0
202344,2023-10-29,0.0,0,1,53164,0,0,84.9086428571429,19.6037857142857,0.0
202343,2023-10-22,0.0,0,1,53164,0,0,81.4315,19.9826857142857,0.0
202342,2023-10-15,0.0,0,1,53164,0,0,80.5674428571429,18.2094428571429,0.0
202341,2023-10-08,0.0,0,1,53164,0,0,84.3858857142857,16.6185857142857,0.0
202340,2023-10-01,0.0,0,1,53164,0,0,82.5090571428571,16.5197142857143,0.0
202339,2023-09-24,0.0,0,1,53164,0,0,89.5768857142857,16.7866,0.0
202338,2023-09-17,0.0,0,1,53164,0,0,84.6542428571429,21.3898285714286,0.0
202337,2023-09-10,0.0,0,1,53164,0,0,81.7175571428571,17.1212,0.0
202336,2023-09-03,0.0,0,1,53164,0,0,87.9776714285714,16.9217142857143,0.0
202335,2023-08-27,0.0,0,1,53164,0,0,77.0836571428571,14.4738,0.0
202334,2023-08-20,0.0,0,1,53164,0,0,77.8165,15.8233285714286,0.0
202333,2023-08-13,0.0,0,1,53164,0,0,74.788,16.0624285714286,0.0
202332,2023-08-06,0.0,0,1,53164,0,0,79.2850714285714,17.5451571428571,0.0
202331,2023-07-30,0.0,0,1,53164,0,0,84.2837285714286,17.1791428571429,0.0
202330,2023-07-23,0.0,0,1,53164,0,0,83.3945428571429,16.1509571428571,0.0
202329,2023-07-16,0.0,0,1,53164,0,0,80.1061285714286,13.4492857142857,0.0
202328,2023-07-09,1.0,1,1,53164,0,0,89.5858,13.9461571428571,1.0
202327,2023-07-02,1.0,1,1,53164,0,0,86.8747571428571,16.5569428571429,0.0
202326,2023-06-25,1.0,1,1,53164,0,0,79.5574,17.4639142857143,0.0
202325,2023-06-18,1.0,1,1,53164,0,0,85.2473,14.4874,1.0
202324,2023-06-11,0.0,0,1,53164,0,0,86.7681142857143,12.4895857142857,0.0
202323,2023-06-04,1.0,1,1,53164,0,0,78.0760857142857,18.4277571428571,0.0
202322,2023-05-28,1.0,1,1,53164,0,0,89.12533525,14.3125,
202321,2023-05-21,2.0,2,1,53164,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,7.0,7,1,53164,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,11.0,11,1,53164,0,0,89.818026,16.3157894,
202318,2023-04-30,5.0,5,1,53164,1,0,93.022592375,19.375,
202317,2023-04-23,6.0,6,1,53164,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,4.0,4,1,53164,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,5.0,5,1,53164,1,0,71.9851208571429,22.962406,
202314,2023-04-02,2.0,2,1,53164,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,1.0,1,2,53164,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,7.0,7,2,53164,1,0,77.116741,25.6030701666667,
202311,2023-03-12,6.0,6,2,53164,1,0,87.24508125,24.35416675,
202310,2023-03-05,7.0,7,2,53164,1,1,89.755615,23.904762,
202309,2023-02-26,1.0,1,2,53164,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,2.0,2,2,53164,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,1.0,1,1,53164,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,1.0,1,1,53164,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,0.0,0,1,57584,0,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,0.0,0,1,57584,0,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,0.0,0,1,57584,0,0,79.86877,24.4285714285714,
202302,2023-01-08,0.0,0,1,57584,0,0,66.4495465714286,25.819549,
202301,2023-01-01,0.0,0,1,57584,0,0,65.3131172857143,25.691729,
