,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov,city
0,2012-12,0.0,0.0,1.0,15243.0,0.0,0.0,62.5952382857143,25.8809522857143,,Triunfo
1,2013-01,0.0,0.0,1.0,15243.0,0.0,0.0,66.52054789285712,26.22725025,,Triunfo
2,2013-02,0.0,0.0,1.0,15243.0,0.0,0.0,65.63066685714286,26.444205749999977,,Triunfo
3,2013-03,0.0,0.0,1.0,15243.0,0.0,0.0,67.66046651428569,26.705912228571425,,Triunfo
4,2013-04,1.0,1.0,1.0,15243.0,0.0,0.0,73.12626385714285,25.954872678571448,,Triunfo
5,2013-05,2.75,2.75,1.0,15243.0,0.0,0.0,79.1841762857143,24.42429160714285,,Triunfo
6,2013-06,3.2,3.2,1.0,15243.0,0.0,0.0,83.86301268571431,22.956584199999998,,Triunfo
7,2013-07,0.0,0.0,1.0,15243.0,0.0,0.0,81.88208400000003,22.349930714285698,,Triunfo
8,2013-08,0.0,0.0,1.0,15243.0,0.0,0.0,78.81461960714284,22.6878312142857,,Triunfo
9,2013-09,0.2,0.2,1.0,15243.0,0.0,0.0,75.21114017142857,23.489513628571437,,Triunfo
10,2013-10,0.25,0.25,1.0,15243.0,0.0,0.0,71.15812607142857,24.750025964285726,,Triunfo
11,2013-11,0.5,0.5,1.0,15243.0,0.0,0.0,69.53548096428572,24.95794739285715,,Triunfo
12,2013-12,0.2,0.2,1.0,15243.0,0.0,0.0,68.95878900000002,25.74495114285714,,Triunfo
13,2014-01,0.25,0.25,1.0,15243.0,0.0,0.0,68.32489489285715,25.61607082142855,,Triunfo
14,2014-02,1.0,1.0,1.0,15243.0,0.0,0.0,75.7089387142857,24.966389785714302,,Triunfo
15,2014-03,0.4,0.4,1.0,15243.0,0.0,0.0,72.24703731428572,26.010632857142838,,Triunfo
16,2014-04,0.0,0.0,1.0,15243.0,0.0,0.0,72.46638532142858,26.0756991785714,,Triunfo
17,2014-05,0.0,0.0,1.0,15243.0,0.0,0.0,77.96431875,24.414198464285676,,Triunfo
18,2014-06,0.2,0.2,1.0,15243.0,0.0,0.0,79.47725194285717,23.18007594285716,,Triunfo
19,2014-07,0.5,0.5,1.0,15243.0,0.0,0.0,79.99898192857142,22.51226010714285,,Triunfo
20,2014-08,0.0,0.0,1.0,15243.0,0.0,0.0,76.69840337142854,22.74178442857146,,Triunfo
21,2014-09,0.25,0.25,1.0,15243.0,0.0,0.0,77.5715419642857,23.269298678571424,,Triunfo
22,2014-10,0.25,0.25,1.0,15243.0,0.0,0.0,74.17885757142858,24.010264535714278,,Triunfo
23,2014-11,0.0,0.0,1.0,15243.0,0.0,0.0,71.46600554285712,24.891258971428584,,Triunfo
24,2014-12,0.0,0.0,1.0,15243.0,0.0,0.0,72.20196557142857,24.906749464285724,,Triunfo
25,2015-01,0.25,0.25,1.0,15243.0,0.0,0.0,69.63723599999997,25.322436214285702,,Triunfo
26,2015-02,0.0,0.0,1.0,15243.0,0.0,0.0,70.65279246428572,25.846726714285726,,Triunfo
27,2015-03,0.8,0.8,1.0,15243.0,0.0,0.0,76.38400537142857,25.07597148571428,,Triunfo
28,2015-04,7.25,7.25,1.75,15243.0,0.0,0.5,72.22119692857143,25.943136214285726,,Triunfo
29,2015-05,14.2,14.2,2.8,15243.0,0.0,0.2,76.4686097142857,24.83858991428572,,Triunfo
30,2015-06,5.75,5.75,1.0,15243.0,0.0,0.0,85.8839385,22.6243582142857,,Triunfo
31,2015-07,1.0,1.0,1.0,15243.0,0.0,0.0,88.28774485714285,21.60502967857145,,Triunfo
32,2015-08,0.4,0.4,1.0,15243.0,0.0,0.0,78.62583817142858,22.57706865714284,,Triunfo
33,2015-09,0.0,0.0,1.0,15243.0,0.0,0.0,72.11091660714285,23.83852660714285,,Triunfo
34,2015-10,0.0,0.0,1.0,15243.0,0.0,0.0,70.41807974999998,24.243054071428574,,Triunfo
35,2015-11,0.4,0.4,1.0,15243.0,0.0,0.0,66.7585444857143,25.29875286071428,,Triunfo
