SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,29.0,29,2,223679,1,1,76.4487857142857,23.0581142857143,0.0
202352,2023-12-24,10.0,10,4,223679,1,0,72.0615285714286,23.4483571428571,6.0
202351,2023-12-17,18.0,18,4,223679,1,0,78.1813833333333,26.7256,9.0
202350,2023-12-10,18.0,18,4,223679,1,0,76.1193714285714,25.3351428571429,2.0
202349,2023-12-03,19.0,19,1,223679,1,1,80.0582333333333,21.5250333333333,0.0
202348,2023-11-26,4.0,4,4,223679,1,0,80.4231571428571,23.4254571428571,2.0
202347,2023-11-19,11.0,11,4,223679,0,0,71.7454571428571,21.1021428571429,1.0
202346,2023-11-12,13.0,13,2,223679,1,1,90.7803714285714,21.5215142857143,0.0
202345,2023-11-05,4.0,4,2,223679,1,0,77.3637571428571,20.7352714285714,0.0
202344,2023-10-29,4.0,4,1,223679,1,0,82.7536428571429,20.2262142857143,1.0
202343,2023-10-22,8.0,8,1,223679,1,0,81.0672857142857,20.2186428571429,0.0
202342,2023-10-15,7.0,7,1,223679,0,0,79.1284857142857,18.6463428571429,0.0
202341,2023-10-08,3.0,3,1,223679,0,0,81.356,17.1534,0.0
202340,2023-10-01,2.0,2,1,223679,0,0,79.5896571428571,17.0027142857143,0.0
202339,2023-09-24,2.0,2,1,223679,0,0,86.6753142857143,17.0212714285714,0.0
202338,2023-09-17,3.0,3,1,223679,1,0,85.4543,21.1664285714286,1.0
202337,2023-09-10,3.0,3,1,223679,0,0,80.6427,17.1111857142857,0.0
202336,2023-09-03,5.0,5,1,223679,0,0,86.9308714285714,16.8275142857143,0.0
202335,2023-08-27,6.0,6,1,223679,0,0,75.9804714285714,15.0225428571429,0.0
202334,2023-08-20,5.0,5,1,223679,0,0,76.0930428571429,15.8425428571429,0.0
202333,2023-08-13,7.0,7,1,223679,0,0,74.1667857142857,16.2265857142857,3.0
202332,2023-08-06,5.0,5,1,223679,0,0,78.8623428571428,17.6813714285714,4.0
202331,2023-07-30,8.0,8,1,223679,0,0,84.7295,17.1646714285714,2.0
202330,2023-07-23,8.0,8,1,223679,0,0,82.7186857142857,16.1039142857143,2.0
202329,2023-07-16,7.0,7,1,223679,0,0,78.2644571428571,13.7529571428571,0.0
202328,2023-07-09,5.0,5,4,223679,0,0,86.8657,14.2295142857143,1.0
202327,2023-07-02,21.0,21,4,223679,0,0,87.2689571428571,16.8183857142857,5.0
202326,2023-06-25,33.0,33,4,223679,0,0,80.9822142857143,17.5430857142857,6.0
202325,2023-06-18,29.0,29,4,223679,0,0,85.5491285714286,14.6426571428571,4.0
202324,2023-06-11,37.0,37,4,223679,0,0,82.4521714285714,12.9131428571429,10.0
202323,2023-06-04,54.0,54,4,223679,0,0,78.1879571428571,18.8077285714286,16.0
202322,2023-05-28,61.0,61,4,223679,0,0,89.12533525,14.3125,
202321,2023-05-21,89.0,89,4,223679,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,107.0,107,4,223679,0,1,83.0109277894737,15.7503611578947,
202319,2023-05-07,89.0,89,4,223679,0,1,89.818026,16.3157894,
202318,2023-04-30,65.0,65,4,223679,1,0,93.022592375,19.375,
202317,2023-04-23,74.0,74,4,223679,0,1,76.8502429230769,20.3552633076923,
202316,2023-04-16,44.0,44,4,223679,0,1,71.8078585714286,18.8571424285714,
202315,2023-04-09,35.0,35,1,223679,1,1,71.9851208571429,22.962406,
202314,2023-04-02,10.0,10,4,223679,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,11.0,11,4,223679,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,13.0,13,2,223679,1,1,77.116741,25.6030701666667,
202311,2023-03-12,8.0,8,2,223679,1,0,87.24508125,24.35416675,
202310,2023-03-05,4.0,4,2,223679,1,0,89.755615,23.904762,
202309,2023-02-26,6.0,6,2,223679,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,1.0,1,2,223679,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,1.0,1,2,223679,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,5.0,5,2,223679,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,1.0,1,2,256302,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,4.0,4,2,256302,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,4.0,4,2,256302,1,0,79.86877,24.4285714285714,
202302,2023-01-08,2.0,2,2,256302,1,0,66.4495465714286,25.819549,
202301,2023-01-01,4.0,4,1,256302,1,0,65.3131172857143,25.691729,
